request_id,request_datetime,department,asset_id,asset_type,location,point_a,point_b,corridor_id,section_id,maintenance_type,defect_type,defect_reason,defect_severity,safety_risk,safety_risk_description,fault_description,required_duration_hours,required_workers,required_equipment,required_materials,due_date,status,created_at,created_by
REQ007,2026-08-25 08:00,Engineering,TRK001,Track,KM 125/4,Station A,Station B,COR001,C1-S1,Corrective,Rail Defect,Fatigue,Critical,High,Risk of derailing,Track joint defect,3.0,8,Track Machine;Inspection Vehicle,Rail Section;Fasteners,2026-08-26,COMPLETED,2026-09-03 00:46:24,Employee
REQ008,2026-08-25 09:30,S&T,SIG001,Signal,KM 130/2,Station B,Station C,COR001,C1-S1,Corrective,Point Machine Failure,Mechanical Jam,High,High,Risk of derailing,Track joint defect,2.0,4,Signal Testing Kit,Point Machine Spares,2026-08-27,PENDING,2026-09-03 00:46:24,Employee
REQ009,2026-08-25 11:00,Traction,OHE001,OHE,KM 132/7,Station C,Station D,COR002,C1-S1,Preventive,Cantilever Alignment,Thermal Expansion,Medium,Medium,Risk of derailing,Track joint defect,2.5,6,Tower Wagon,Insulators;Clamps,2026-08-29,COMPLETED,2026-09-03 00:46:24,Employee
REQ010,2026-08-25 14:15,Engineering,TRK002,Track,KM 140/1,Station D,Station E,COR002,C1-S1,Corrective,Sleeper Damage,Heavy Axle Load,High,High,Risk of derailing,Track joint defect,3.5,10,Track Machine,Concrete Sleepers;P-Way Tools,2026-08-28,PENDING,2026-09-03 00:46:24,Employee
REQ011,2026-08-26 07:45,S&T,SIG002,Signal,KM 145/3,Station E,Station F,COR003,C1-S1,Corrective,Track Circuit Failure,Waterlogging,Critical,High,Risk of derailing,Track joint defect,2.0,4,Signal Testing Kit,Bond Wires;Relays,2026-08-27,PENDING,2026-09-03 00:46:24,Employee
REQ012,2026-08-26 09:00,Engineering,TRK003,Track,KM 128/2,Station A,Station B,C1,C1-S1,Preventive,Track Tamping,Ballast Settlement,Medium,Medium,Risk of derailing,Track joint defect,4.0,8,Track Machine;Inspection Vehicle,Ballast,2026-08-31,PENDING,2026-09-03 00:46:24,Employee
REQ013,2026-08-26 10:30,S&T,SIG003,Signal,KM 135/6,Station C,Station D,COR002,C1-S1,Preventive,Relay Testing,Routine Calibration,Low,Low,Risk of derailing,Track joint defect,1.5,3,Relay Testing Kit,Testing Cables,2026-09-02,PENDING,2026-09-03 00:46:24,Employee
REQ014,2026-08-26 13:00,Traction,OHE002,OHE,KM 142/1,Station D,Station E,COR002,C1-S1,Corrective,Dropper Disconnection,Vibration Fatigue,High,High,Risk of derailing,Track joint defect,2.0,5,Tower Wagon,Dropper Wires;Clamps,2026-08-28,PENDING,2026-09-03 00:46:24,Employee
REQ015,2026-08-27 08:15,Engineering,TRK004,Track,KM 148/4,Station E,Station F,COR003,C1-S1,Corrective,Rail Weld Fracture,Thermal Stress,Critical,High,Risk of derailing,Track joint defect,3.0,8,Track Machine,Thermit Weld Kit;Rail Section,2026-08-28,COMPLETED,2026-09-03 00:46:24,Employee
REQ016,2026-08-27 09:45,S&T,SIG004,Signal,KM 152/8,Station E,Station F,COR003,C1-S1,Preventive,Cable Insulation Testing,Aging Insulation,Medium,Medium,Risk of derailing,Track joint defect,2.0,3,Signal Testing Kit,Insulation Tape;Connectors,2026-09-01,PENDING,2026-09-03 00:46:24,Employee
REQ017,2026-08-27 11:30,Traction,OHE003,OHE,KM 160/2,Station F,Station G,COR003,C1-S1,Preventive,Contact Wire Height Adjustment,Wear & Tear,Medium,Medium,Risk of derailing,Track joint defect,3.0,6,Tower Wagon,Contact Wire;Connectors,2026-09-03,PENDING,2026-09-03 00:46:24,Employee
REQ018,2026-08-27 15:00,Engineering,TRK001,Track,KM 125/4,Station A,Station B,C1,C1-S1,Preventive,Rail Grinding,Corrugation,Low,Low,Risk of derailing,Track joint defect,2.5,6,Track Machine,Grinding Wheels,2026-09-04,COMPLETED,2026-09-03 00:46:24,Employee
REQ019,2026-08-28 07:30,S&T,SIG001,Signal,KM 130/2,Station B,Station C,C1,C1-S1,Corrective,Signal Lamp Failure,Bulb Burnout,High,High,Risk of derailing,Track joint defect,1.0,2,Signal Testing Kit,LED Signal Aspect,2026-08-29,PENDING,2026-09-03 00:46:24,Employee
REQ020,2026-08-28 09:00,Engineering,TRK002,Track,KM 140/1,Station D,Station E,C2,C1-S1,Corrective,Ballast Clearance,Obstruction,Medium,Medium,Risk of derailing,Track joint defect,2.0,6,Track Machine,Ballast Tools,2026-08-30,PENDING,2026-09-03 00:46:24,Employee
REQ021,2026-08-28 10:30,Traction,OHE001,OHE,KM 132/7,Station C,Station D,C2,C1-S1,Corrective,Jumper Wire Connection,Overheating,High,High,Risk of derailing,Track joint defect,2.0,4,Tower Wagon,PG Clamps;Jumper Wire,2026-08-29,COMPLETED,2026-09-03 00:46:24,Employee
REQ022,2026-08-28 12:00,Engineering,TRK003,Track,KM 128/2,Station A,Station B,C1,C1-S1,Corrective,Fishplate Bolts Loose,Vibration,Medium,Medium,Risk of derailing,Track joint defect,1.5,4,Track Machine,Fishplates;High Tensile Bolts,2026-08-30,PENDING,2026-09-03 00:46:24,Employee
REQ023,2026-08-28 14:00,S&T,SIG002,Signal,KM 145/3,Station E,Station F,C3,C1-S1,Preventive,Location Box Inspection,Dust & Moisture,Low,Low,Risk of derailing,Track joint defect,1.5,2,Signal Testing Kit,Sealing Gaskets,2026-09-02,PENDING,2026-09-03 00:46:24,Employee
REQ024,2026-08-29 08:00,Engineering,TRK004,Track,KM 148/4,Station E,Station F,C3,C1-S1,Preventive,Track Gauge Check,Side Wear,Low,Low,Risk of derailing,Track joint defect,2.0,4,Inspection Vehicle,Gauge Tie Bars,2026-09-05,COMPLETED,2026-09-03 00:46:24,Employee
REQ025,2026-08-29 09:15,Traction,OHE002,OHE,KM 142/1,Station D,Station E,C2,C1-S1,Preventive,Section Insulator Check,Flashover,Medium,Medium,Risk of derailing,Track joint defect,2.5,5,Tower Wagon,Section Insulator Core,2026-09-03,PENDING,2026-09-03 00:46:24,Employee
REQ026,2026-08-29 11:00,S&T,SIG003,Signal,KM 135/6,Station C,Station D,C2,C1-S1,Corrective,Axle Counter Reset,Count Mismatch,High,High,Risk of derailing,Track joint defect,1.5,3,Signal Testing Kit,Axle Counter Board,2026-08-30,PENDING,2026-09-03 00:46:24,Employee
REQ027,2026-08-29 13:30,Engineering,TRK001,Track,KM 125/4,Station A,Station B,C1,C1-S1,Corrective,Switch Expansion Joint Check,Thermal Gap,Medium,Medium,Risk of derailing,Track joint defect,2.0,5,Track Machine,SEJ Fasteners,2026-08-31,COMPLETED,2026-09-03 00:46:24,Employee
REQ028,2026-08-29 15:00,S&T,SIG004,Signal,KM 152/8,Station E,Station F,C3,C1-S1,Corrective,Block Instrument Defect,Communication Noise,Critical,High,Risk of derailing,Track joint defect,2.5,4,Signal Testing Kit,Filter Cards;Lines,2026-08-30,PENDING,2026-09-03 00:46:24,Employee
REQ029,2026-08-30 08:30,Traction,OHE003,OHE,KM 160/2,Station F,Station G,C3,C1-S1,Corrective,Isolator Switch Replacement,Contact Arc,High,High,Risk of derailing,Track joint defect,3.0,6,Tower Wagon,Isolator Switch Unit,2026-08-31,PENDING,2026-09-03 00:46:24,Employee
REQ030,2026-08-30 10:00,Engineering,TRK002,Track,KM 140/1,Station D,Station E,C2,C1-S1,Preventive,Curve Lubrication,Wheel Flange Wear,Low,Low,Risk of derailing,Track joint defect,1.5,3,Inspection Vehicle,Curve Grease,2026-09-04,PENDING,2026-09-03 00:46:24,Employee
REQ031,2026-08-30 11:45,S&T,SIG001,Signal,KM 130/2,Station B,Station C,C1,C1-S1,Preventive,Point Lubrication & Cleaning,Friction,Low,Low,Risk of derailing,Track joint defect,1.5,2,Signal Testing Kit,Lubricant;Brushes,2026-09-05,PENDING,2026-09-03 00:46:24,Employee
