train_id,train_number,sequence,station_code,station_name,arrival_time,departure_time,distance_from_origin,distance_from_previous_station,corridor_id,section_id,direction,km_location,from_km,to_km,previous_station,next_station,track_id,railway_division
T101,12601,1,SLM,Salem,,06:05,0,0,C1,C1-S1,A-B,292,292,270,,SA,T1,SR
T101,12601,2,SA,Station_A,06:40,06:42,22,22,C1,C1-S1,A-B,270,292,270,SLM,SB,T1,SR
T101,12601,3,SB,Station_B,07:20,07:22,42,20,C1,C1-S2,A-B,250,270,250,SA,SC,T1,SR
T101,12601,4,SC,Station_C,08:10,08:12,69,27,C1,C1-S3,A-B,223,250,223,SB,MAS,T1,SR
T101,12601,5,MAS,Chennai,10:30,,292,223,C1,C1-S4,A-B,0,223,0,SC,,T1,SR
T102,12602,1,MAS,Chennai,,08:45,0,0,C1,C1-S4,B-A,0,0,223,,SC,T1,SR
T102,12602,2,SC,Station_C,09:30,09:32,223,223,C1,C1-S3,B-A,223,223,250,MAS,SB,T1,SR
T102,12602,3,SB,Station_B,10:00,10:02,250,27,C1,C1-S2,B-A,250,250,270,SC,SA,T1,SR
T102,12602,4,SA,Station_A,10:25,10:27,270,20,C1,C1-S1,B-A,270,270,292,SB,SLM,T1,SR
T102,12602,5,SLM,Salem,10:45,,292,22,C1,C1-S1,B-A,292,270,292,SA,,T1,SR
T103,66001,1,SLM,Salem,,11:15,0,0,C1,C1-S1,A-B,292,292,270,,SA,T1,SR
T103,66001,2,SA,Station_A,11:50,11:52,22,22,C1,C1-S1,A-B,270,292,270,SLM,SB,T1,SR
T103,66001,3,SB,Station_B,12:30,12:32,42,20,C1,C1-S2,A-B,250,270,250,SA,SC,T1,SR
T103,66001,4,SC,Station_C,13:13,13:15,69,27,C1,C1-S3,A-B,223,250,223,SB,MAS,T1,SR
T103,66001,5,MAS,Chennai,15:30,,292,223,C1,C1-S4,A-B,0,223,0,SC,,T1,SR
T104,12604,1,MAS,Chennai,,13:45,0,0,C1,C1-S4,B-A,0,0,223,,SC,T1,SR
T104,12604,2,SC,Station_C,14:40,14:42,223,223,C1,C1-S3,B-A,223,223,250,MAS,SB,T1,SR
T104,12604,3,SB,Station_B,15:10,15:12,250,27,C1,C1-S2,B-A,250,250,270,SC,SA,T1,SR
T104,12604,4,SA,Station_A,15:30,15:32,270,20,C1,C1-S1,B-A,270,270,292,SB,SLM,T1,SR
T104,12604,5,SLM,Salem,15:45,,292,22,C1,C1-S1,B-A,292,270,292,SA,,T1,SR
